[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-node@3.8.0 : Verbose - buildOauthClientConfiguration called
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-node@3.8.0 : Info - Building oauth client configuration with the following authority: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token.
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-node@3.8.0 : Verbose - Client credential client created
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting in-memory cache
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-common@15.13.0 : Info - Sending token request to endpoint: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: throttling.{"clientId":"72e913b2-423c-4625-8fa3-c948512a9f1d","authority":"https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0","scopes":["https://management.core.windows.net//.default"],"authenticationScheme":"Bearer"}
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.234Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-common@15.13.0 : Trace - Executing function networkClientSendPostRequestAsync
[2025-10-15T13:16:16.509Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-common@15.13.0 : Trace - Error occurred in networkClientSendPostRequestAsync
[2025-10-15T13:16:16.509Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-common@15.13.0 : Trace - {}
[2025-10-15T13:16:16.510Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:16.510Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:16.510Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:16.510Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:16.510Z] [INFO] [Wed, 15 Oct 2025 13:16:16 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Setting cache key value store
[2025-10-15T13:16:16.510Z] [INFO] MSAL v3 - retrying getMSALToken - temporary error code: network_error
[2025-10-15T13:16:16.510Z] [INFO] MSAL v3 - retrying getMSALToken - remaining attempts: 2 - retry minseconds: 4000
[2025-10-15T13:16:20.512Z] [INFO] MSAL v3 - getMSALToken called.
[2025-10-15T13:16:20.512Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Info - acquireTokenByClientCredential called
